group,symbol,value,change
傳產-生技,3176,9083,2.04
電子上游-IC-半導體設備,3178,7551,0.7
傳產-營建,3188,6795,0
電子上游-ABF,3189,3637072,6.25
電子中游-變壓器與UPS,3191,480,-0.53
傳產-生技,3205,3592,1.36
電子中游-聲學元件,3206,457,-0.31
電子上游-被動元件,3207,22374,-1.85
電子上游-IC-通路,3209,7390,-0.16
電子中游-二次電池,3211,1699845,0
電子下游-筆記型電腦,3213,18139,0.98
電子上游-連接元件,3217,50007,-0.62
傳產-生技,3218,9262,-0.68
電子中游-儀器設備工程,3219,19820,1.01
電子上游-被動元件,3221,4209,1.67
電子中游-電子元件通路,3224,311,0.11
傳產-汽車零組件,3226,182,-0.12
電子上游-IC-設計,3227,206150,-1.23
電子上游-IC-設計,3228,47623,-1.95
電子上游-PCB-製造,3229,11196,2.21
電子中游-機殼,3230,18779,-4.74
電子下游-筆記型電腦,3231,2040987,0.69
電子上游-IC-通路,3232,343,0
電子中游-網通,3234,95873,-1.32
電子上游-被動元件,3236,120431,-1.03
傳產-觀光,3252,60,0
電子上游-IC-設計,3257,52856,-1.28
電子上游-IC-設計,3259,1050,-2.05
電子上游-記憶體銷售,3260,9243127,-0.89
電子上游-IC-封測,3264,3499084,9.56
電子上游-IC-封測,3265,1381052,3.38
傳產-營建,3266,211,1.07
電子上游-IC-設計,3268,851,1.41
電子下游-電腦周邊,3272,977,-0.25
電子上游-PCB-製造,3276,1872,0.33
傳產-其他,3284,1898,0.95
電子下游-消費電子,3285,582,-2.26
電子下游-電腦周邊,3287,2809,-1.2
電子上游-IC-設計,3288,126,-1.45
電子上游-IC-其他,3289,145882,5.61
電子上游-連接元件,3290,14512,-1.17
軟體-遊戲,3293,377322,-0.28
電子中游-機殼,3294,41707,-2.24
電子中游-電源供應器,3296,1767,-0.2
電子下游-安全監控,3297,4727,-0.12
電子中游-其他,3303,5098,0
電子上游-PCB-材料設備,3305,572769,-1.36
電子中游-通訊設備,3306,13629,-1.56
電子中游-電源供應器,3308,283,0.96
